proj_name,countries,max_country,world_region
1995_may_9_674811468015658544_chile--secondary-education-quality-improvement-project-_-loan-3883--loan-agreement--conformed.txt,"[['chile', 'united states'], [8, 2]]",chile,latin amer. & carib
2016_december_22_541481485535226705_official-documents-loan-agreement-for-loan-8579-ec-closing-package.txt,"[['ecuador', 'united states'], [9, 1]]",ecuador,latin amer. & carib
2012_december_18_334251468236371955_official-documents-loan-agreement-for-loan-8177-br-closing-package.txt,"[['brazil', 'united states'], [2, 1]]",brazil,latin amer. & carib
2012_february_15_533511468218386526_official-documents-loan-agreement-for-loan-8125-am-closing-package.txt,"[['armenia', 'united states'], [8, 1]]",armenia,c.w. of ind. states
"2013_april_20_723151468147287906_official-documents-loan-agreement,-l8238-ph-closing-package.txt","[['colombia', 'philippines', 'united states'], [1, 5, 2]]",philippines,asia (ex. near east)
2013_june_19_435991468035419944_official-documents-loan-agreement-for-loan-8254-in-closing-package.txt,"[['india', 'united states'], [7, 2]]",india,asia (ex. near east)
1995_september_14_180191468068335357_paraguay--secondary-education-improvement-project-_-loan-3941--loan-agreement--conformed.txt,"[['chile', 'paraguay', 'united states'], [1, 15, 2]]",paraguay,latin amer. & carib
1995_june_29_721921468016182018_brazil--rural-poverty-alleviation-project--ceara-_-loan-3918--loan-agreement--conformed.txt,"[['brazil', 'iran', 'united states'], [5, 1, 1]]",brazil,latin amer. & carib
"1995_june_8_162971468052158890_morocco--secondary,-tertiary-and-rural-roads-project-_-loan-3901--loan-agreement--conformed.txt","[['morocco', 'united states'], [5, 2]]",morocco,northern africa
1994_june_2_718551468049799616_kazakhstan--petroleum-technical-assistance-project-_-loan-3744--loan-agreement--conformed.txt,"[['kazakhstan', 'united states'], [9, 1]]",kazakhstan,c.w. of ind. states
1995_september_21_319841468307147267_turkey--public-financial-management-project-_-loan-3942--loan-agreement--conformed.txt,"[['mali', 'turkey', 'united states'], [1, 4, 2]]",turkey,near east
1995_july_25_507541468010501278_argentina--bank-reform-loan-_-loan-3926--loan-agreement--conformed.txt,"[['argentina', 'united states'], [2, 1]]",argentina,latin amer. & carib
1994_november_8_277771468059363040_russia--environmental-management-project-_-loan-3806--loan-agreement--conformed.txt,"[['russia', 'united states'], [11, 1]]",russia,c.w. of ind. states
1990_june_12_146771468325288731_pakistan--agricultural-credit-project-_-credit-2153--loan-agreement--conformed.txt,"[['pakistan', 'united states'], [11, 2]]",pakistan,asia (ex. near east)
1996_february_8_696831468049465165_moldova--first-private-sector-development-project-_-loan-3977--loan-agreement--conformed.txt,"[['germany', 'moldova', 'united states'], [1, 7, 2]]",moldova,c.w. of ind. states
2019_june_19_108841561499881807_official-documents--loan-agreement-for-loan-8933-al.txt,"[['albania', 'iran', 'macedonia', 'serbia', 'united states'], [5, 1, 6, 6, 1]]",macedonia,eastern europe
1995_april_18_724451468284077265_kazakhstan--financial-and-enterprises-development-project-_-loan-3867--loan-agreement--conformed.txt,"[['kazakhstan', 'united states'], [9, 1]]",kazakhstan,c.w. of ind. states
